index,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,month,hour,day,year
0,2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,January,0,Thursday,2011
1,2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0,January,1,Thursday,2011
2,2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0,January,2,Thursday,2011
3,2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,January,3,Thursday,2011
4,2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,January,4,Thursday,2011
5,2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,January,5,Thursday,2011
6,2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,January,6,Thursday,2011
7,2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,January,7,Thursday,2011
8,2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,January,8,Thursday,2011
9,2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,January,9,Thursday,2011
10,2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,January,10,Thursday,2011
11,2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,January,11,Thursday,2011
12,2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0,January,12,Thursday,2011
13,2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,January,13,Thursday,2011
14,2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,January,14,Thursday,2011
15,2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,January,15,Thursday,2011
16,2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,January,16,Thursday,2011
17,2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,January,17,Thursday,2011
18,2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,January,18,Thursday,2011
19,2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,January,19,Thursday,2011
20,2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,January,20,Thursday,2011
21,2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,January,21,Thursday,2011
22,2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,January,22,Thursday,2011
23,2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,January,23,Thursday,2011
24,2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,January,0,Friday,2011
25,2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,January,1,Friday,2011
26,2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,January,2,Friday,2011
27,2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,January,3,Friday,2011
28,2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,January,4,Friday,2011
29,2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,January,5,Friday,2011
30,2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979,January,6,Friday,2011
31,2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012,January,7,Friday,2011
32,2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028,January,8,Friday,2011
33,2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994,January,9,Friday,2011
34,2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009,January,10,Friday,2011
35,2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009,January,11,Friday,2011
36,2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007,January,12,Friday,2011
37,2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007,January,13,Friday,2011
38,2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008,January,14,Friday,2011
39,2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026,January,15,Friday,2011
40,2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994,January,16,Friday,2011
41,2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994,January,17,Friday,2011
42,2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979,January,18,Friday,2011
43,2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028,January,19,Friday,2011
44,2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993,January,20,Friday,2011
45,2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012,January,21,Friday,2011
46,2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027,January,22,Friday,2011
47,2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028,January,23,Friday,2011
48,2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979,January,0,Saturday,2011
49,2011-01-22 01:00:00,1,0,0,2,1.64,0.0,41,26.0027,January,1,Saturday,2011
50,2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979,January,2,Saturday,2011
51,2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012,January,3,Saturday,2011
52,2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995,January,4,Saturday,2011
53,2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013,January,6,Saturday,2011
54,2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012,January,7,Saturday,2011
55,2011-01-22 08:00:00,1,0,0,1,0.82,0.0,44,22.0028,January,8,Saturday,2011
56,2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979,January,9,Saturday,2011
57,2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014,January,10,Saturday,2011
