"CO_month","datetime","CO_workingday","NO_temp","NO_atemp","NO_humidity","NO_windspeed","S_casual","S_registered","count","CO_hour","CO_day","CO_year","CO_season","CO_weather","CO_humidityQ","CO_tempQ","CO_atempQ","CO_windspeedQ","S_casualQ","S_registeredQ","CO_holiday","CN_school","NN_soleil","CN_soleilQ","NN_tendance_1","NN_tendance_2","CN_tendance_1Q","CN_tendance_2Q","S_rateregis","S_rateregisQ"
"January",2011-01-01 00:00:00,"0",9.84,14.395,81,0,3,13,16,"0","Saturday","2011","Printemps","Beau temps","(77,100]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-68.0361855234207,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.8125,"(0.77,0.817]"
"January",2011-01-01 01:00:00,"0",9.02,13.635,80,0,8,32,40,"1","Saturday","2011","Printemps","Beau temps","(77,100]","[0.82,13.9]","[0.76,16.7]","[0,7]","(4,17]","[0,36]",1,0,-73.9486882238403,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.8,"(0.77,0.817]"
"January",2011-01-01 02:00:00,"0",9.02,13.635,80,0,5,27,32,"2","Saturday","2011","Printemps","Beau temps","(77,100]","[0.82,13.9]","[0.76,16.7]","[0,7]","(4,17]","[0,36]",1,0,-71.0660259428809,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.84375,"(0.817,0.855]"
"January",2011-01-01 03:00:00,"0",9.84,14.395,75,0,3,10,13,"3","Saturday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-62.0163080547591,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.769230769230769,"(0.717,0.77]"
"January",2011-01-01 04:00:00,"0",9.84,14.395,75,0,0,1,1,"4","Saturday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-50.9731575318712,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-01 05:00:00,"0",9.84,12.88,75,6.0032,0,1,1,"5","Saturday","2011","Printemps","Nuageux","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-39.3778673692989,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-01 06:00:00,"0",9.02,13.635,80,0,2,0,2,"6","Saturday","2011","Printemps","Beau temps","(77,100]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-27.7437606692474,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0,"[0,0.641]"
"January",2011-01-01 07:00:00,"0",8.2,12.88,86,0,1,2,3,"7","Saturday","2011","Printemps","Beau temps","(77,100]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-16.3562540589149,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.666666666666667,"(0.641,0.717]"
"January",2011-01-01 08:00:00,"0",9.84,14.395,75,0,1,7,8,"8","Saturday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",1,0,-5.46432683767982,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.875,"(0.855,0.889]"
"January",2011-01-01 09:00:00,"0",13.12,17.425,76,0,8,6,14,"9","Saturday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","(16.7,24.2]","[0,7]","(4,17]","[0,36]",1,0,4.81041059203097,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.428571428571429,"[0,0.641]"
"January",2011-01-01 10:00:00,"0",15.58,19.695,76,16.9979,12,24,36,"10","Saturday","2011","Printemps","Beau temps","(62,77]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","[0,36]",1,0,13.6516624213654,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.666666666666667,"(0.641,0.717]"
"January",2011-01-01 11:00:00,"0",14.76,16.665,81,19.0012,26,30,56,"11","Saturday","2011","Printemps","Beau temps","(77,100]","(13.9,20.5]","[0.76,16.7]","(17,57]","(17,49]","[0,36]",1,0,20.9065136945348,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.535714285714286,"[0,0.641]"
"January",2011-01-01 12:00:00,"0",17.22,21.21,77,19.0012,29,55,84,"12","Saturday","2011","Printemps","Beau temps","(62,77]","(13.9,20.5]","(16.7,24.2]","(17,57]","(17,49]","(36,118]",1,0,25.9107760781158,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.654761904761905,"(0.641,0.717]"
"January",2011-01-01 13:00:00,"0",18.86,22.725,72,19.9995,47,47,94,"13","Saturday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(17,57]","(17,49]","(36,118]",1,0,28.0851008602901,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.5,"[0,0.641]"
"January",2011-01-01 14:00:00,"0",18.86,22.725,72,19.0012,35,71,106,"14","Saturday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(17,57]","(17,49]","(36,118]",1,0,27.125487937252,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.669811320754717,"(0.641,0.717]"
"January",2011-01-01 15:00:00,"0",18.04,21.97,77,19.9995,40,70,110,"15","Saturday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(17,57]","(17,49]","(36,118]",1,0,23.1706336403922,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.636363636363636,"[0,0.641]"
"January",2011-01-01 16:00:00,"0",17.22,21.21,82,19.9995,41,52,93,"16","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(17,57]","(17,49]","(36,118]",1,0,16.7212556170789,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.559139784946237,"[0,0.641]"
"January",2011-01-01 17:00:00,"0",18.04,21.97,82,19.0012,15,52,67,"17","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(17,57]","(4,17]","(36,118]",1,0,8.41482658918871,"(1.01,28.9]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.776119402985075,"(0.77,0.817]"
